Source	Variance	SE	file_name
V(G)	0.229794	0.017697	celso
V(e)	0.003357	0.015326	celso
Vp	0.233151	0.0058	celso
V(G)/Vp	0.985603	0.065827	celso
V(G)/Vp_L	0.55604	0.037137	celso
V(G)_tr1	0.223278	0.017155	celso_cgs1c
V(G)_tr2	0.054646	0.008991	celso_cgs1c
C(G)_tr12	0.059307	0.009774	celso_cgs1c
V(e)_tr1	0.009654	0.01488	celso_cgs1c
V(e)_tr2	0.067485	0.008602	celso_cgs1c
Vp_tr1	0.232932	0.005778	celso_cgs1c
Vp_tr2	0.122131	0.002909	celso_cgs1c
V(G)/Vp_tr1	0.958555	0.064127	celso_cgs1c
V(G)/Vp_tr2	0.447441	0.071233	celso_cgs1c
V(G)/Vp_tr1_L	0.540781	0.036178	celso_cgs1c
V(G)/Vp_tr2_L	0.50558	0.080489	celso_cgs1c
rG	0.536912	0.096347	celso_cgs1c
V(G)_tr1	0.225311	0.017265	celso_gawli
V(G)_tr2	0.194085	0.023414	celso_gawli
C(G)_tr12	0.09702	0.015806	celso_gawli
V(e)_tr1	0.007894	0.014938	celso_gawli
V(e)_tr2	0.051681	0.021357	celso_gawli
Vp_tr1	0.233205	0.005794	celso_gawli
Vp_tr2	0.245766	0.006778	celso_gawli
V(G)/Vp_tr1	0.966148	0.064263	celso_gawli
V(G)/Vp_tr2	0.789715	0.088009	celso_gawli
V(G)/Vp_tr1_L	0.545064	0.036255	celso_gawli
V(G)/Vp_tr2_L	0.441416	0.049193	celso_gawli
rG	0.463955	0.078726	celso_gawli
V(G)_tr1	0.217235	0.016748	celso_xclm2
V(G)_tr2	0.114686	0.009318	celso_xclm2
C(G)_tr12	0.089837	0.009624	celso_xclm2
V(e)_tr1	0.013892	0.014662	celso_xclm2
V(e)_tr2	0.132634	0.008502	celso_xclm2
Vp_tr1	0.231128	0.005696	celso_xclm2
Vp_tr2	0.24732	0.004087	celso_xclm2
V(G)/Vp_tr1	0.939893	0.063748	celso_xclm2
V(G)/Vp_tr2	0.463716	0.035232	celso_xclm2
V(G)/Vp_tr1_L	0.530252	0.035964	celso_xclm2
V(G)/Vp_tr2_L	0.25896	0.019675	celso_xclm2
rG	0.569158	0.063976	celso_xclm2
V(G)_tr1	0.225777	0.017136	celso_xclo3
V(G)_tr2	0.238888	0.015549	celso_xclo3
C(G)_tr12	0.104511	0.013206	celso_xclo3
V(e)_tr1	0.006979	0.01484	celso_xclo3
V(e)_tr2	0.003614	0.012965	celso_xclo3
Vp_tr1	0.232756	0.005773	celso_xclo3
Vp_tr2	0.242502	0.005594	celso_xclo3
V(G)/Vp_tr1	0.970016	0.063937	celso_xclo3
V(G)/Vp_tr2	0.985099	0.053565	celso_xclo3
V(G)/Vp_tr1_L	0.547246	0.036071	celso_xclo3
V(G)/Vp_tr2_L	0.544046	0.029583	celso_xclo3
rG	0.450013	0.058032	celso_xclo3
V(G)_tr1	0.224034	0.017052	celso_xswe5
V(G)_tr2	0.118677	0.014158	celso_xswe5
C(G)_tr12	0.101286	0.012488	celso_xswe5
V(e)_tr1	0.008492	0.014779	celso_xswe5
V(e)_tr2	0.119996	0.01322	celso_xswe5
Vp_tr1	0.232526	0.005765	celso_xswe5
Vp_tr2	0.238673	0.005228	celso_xswe5
V(G)/Vp_tr1	0.963479	0.063771	celso_xswe5
V(G)/Vp_tr2	0.497238	0.056345	celso_xswe5
V(G)/Vp_tr1_L	0.543559	0.035977	celso_xswe5
V(G)/Vp_tr2_L	0.284243	0.032209	celso_xswe5
rG	0.621169	0.082164	celso_xswe5
V(G)_tr1	0.228244	0.017422	celso_xswe6
V(G)_tr2	0.136717	0.02388	celso_xswe6
C(G)_tr12	0.073498	0.017284	celso_xswe6
V(e)_tr1	0.006093	0.014964	celso_xswe6
V(e)_tr2	0.105416	0.02282	celso_xswe6
Vp_tr1	0.234337	0.00585	celso_xswe6
Vp_tr2	0.242133	0.00729	celso_xswe6
